2026-02-22 16:48:08,230 | INFO | detector | [cam-entrance-01] OpenCV RTSP connected.
2026-02-22 16:48:38,278 | WARNING | detector | [cam-entrance-01] OpenCV RTSP read failed. Reconnecting...
2026-02-22 16:49:10,349 | INFO | detector | [cam-entrance-01] OpenCV RTSP connected.
2026-02-22 16:49:40,400 | WARNING | detector | [cam-entrance-01] OpenCV RTSP read failed. Reconnecting...
2026-02-22 16:50:12,430 | INFO | detector | [cam-entrance-01] OpenCV RTSP connected.
2026-02-22 16:50:42,478 | WARNING | detector | [cam-entrance-01] OpenCV RTSP read failed. Reconnecting...
2026-02-22 16:51:14,548 | INFO | detector | [cam-entrance-01] OpenCV RTSP connected.
2026-02-22 16:51:44,598 | WARNING | detector | [cam-entrance-01] OpenCV RTSP read failed. Reconnecting...
2026-02-22 16:52:16,627 | INFO | detector | [cam-entrance-01] OpenCV RTSP connected.
2026-02-22 16:52:46,677 | WARNING | detector | [cam-entrance-01] OpenCV RTSP read failed. Reconnecting...
2026-02-22 16:53:18,749 | INFO | detector | [cam-entrance-01] OpenCV RTSP connected.
2026-02-22 16:53:48,798 | WARNING | detector | [cam-entrance-01] OpenCV RTSP read failed. Reconnecting...
2026-02-22 16:54:20,828 | INFO | detector | [cam-entrance-01] OpenCV RTSP connected.
2026-02-22 16:54:50,877 | WARNING | detector | [cam-entrance-01] OpenCV RTSP read failed. Reconnecting...
2026-02-22 16:55:22,948 | INFO | detector | [cam-entrance-01] OpenCV RTSP connected.
2026-02-22 16:55:52,997 | WARNING | detector | [cam-entrance-01] OpenCV RTSP read failed. Reconnecting...
2026-02-22 16:56:25,025 | INFO | detector | [cam-entrance-01] OpenCV RTSP connected.
2026-02-22 16:56:55,074 | WARNING | detector | [cam-entrance-01] OpenCV RTSP read failed. Reconnecting...
2026-02-22 16:57:27,144 | INFO | detector | [cam-entrance-01] OpenCV RTSP connected.
2026-02-22 16:57:57,193 | WARNING | detector | [cam-entrance-01] OpenCV RTSP read failed. Reconnecting...
2026-02-22 16:58:29,225 | INFO | detector | [cam-entrance-01] OpenCV RTSP connected.
2026-02-22 16:58:59,275 | WARNING | detector | [cam-entrance-01] OpenCV RTSP read failed. Reconnecting...
2026-02-22 16:59:31,345 | INFO | detector | [cam-entrance-01] OpenCV RTSP connected.
2026-02-22 17:00:01,395 | WARNING | detector | [cam-entrance-01] OpenCV RTSP read failed. Reconnecting...
2026-02-22 17:00:33,425 | INFO | detector | [cam-entrance-01] OpenCV RTSP connected.
2026-02-22 17:01:03,474 | WARNING | detector | [cam-entrance-01] OpenCV RTSP read failed. Reconnecting...
2026-02-22 17:01:35,543 | INFO | detector | [cam-entrance-01] OpenCV RTSP connected.
2026-02-22 17:02:05,593 | WARNING | detector | [cam-entrance-01] OpenCV RTSP read failed. Reconnecting...
